geohash,logradouro,numero,cep
6gkzptb5vb6,Avenida Comendador Franco,2531,81530-434
6gkzptu0bnq,Rua Alcides Vieira Arcoverde,1193,81520-260
6gkzptws6jw,Rua Coronel Francisco Heráclito dos Santos,1023,81530-000
6gkzptwsemx,Rua Coronel Francisco Heráclito dos Santos,1023 Sala 2,81530-000
6gkzpupsgvm,Rua João Ribeiro,271,81540-130
6gkzpv9pr8s,Rua Heitor de Andrade,219,81530-310
6gkzpvb9w9w,Rua Maria Theodora de Paula Costa,49,81530-270
6gkzpwhussj,Rua Amoroso Costa,100,81530-100
6gkzpwnk6ze,Rua Tenente Ricardo Kirch,254,81530-150
6gkzpwnwr9f,Rua Senador Batista de Oliveira,167,81530-150
6gkzpwp2997,Rua Coronel Francisco Heráclito dos Santos,791,81530-000
6gkzpxcv0u9,Avenida Prefeito Lothário Meissner,632,80210-170
6gkzpxzt4bw,Rua Santo Agostinho,347,82900-310
6gkzpy3drgh,Avenida Nossa Senhora de Lourdes,335,81530-020
6gkzpy3pj2v,Avenida Nossa Senhora de Lourdes,236,81530-020
6gkzpy84hyn,Rua Coronel Francisco H dos Santos,345,81530-000
6gkzpz2zvh6,Rua São Felipe,73,82900-320
6gkzq036mdd,Rua General Mário Tourinho,1082,80740-000
6gkzq08ddwv,Rua General Mário Tourinho,1212,80740-000
6gkzq0b0mxq,Rua General Mário Tourinho,1380,80740-000
6gkzq0qm2jy,Avenida Vicente Machado,2321,80440-020
6gkzq0v8u51,Rua Jerônimo Durski,716,80730-290
6gkzq1652nn,Rua Jerônimo Durski,1328,80730-030
6gkzq19gyr7,Rua Martin Afonso,2800,80730-030
6gkzq19yn8x,Rua Padre Anchieta,2639,80730-000
6gkzq1csgzq,Rua Padre Agostinho,2677,80710-000
6gkzq1gthd5,Rua Padre Anchieta,2348 Sala 2003,80730-000
6gkzq1kz05c,Rua Coronel Joaquim Ignácio Taborda Ribas,483,80730-330
6gkzq1w4kz0,Alameda Princesa Izabel,2192,80730-330
6gkzq2ze78p,Rua Alferes Ângelo Sampaio,1615,80420-160
6gkzq38pu6t,Alameda Princesa Izabel,1934,80730-040
6gkzq3efure,Rua Capitão Souza Franco,290,80730-420
6gkzq4jvzwh,Rua Padre Anchieta,1968,80730-000
6gkzq4m6y35,Rua Padre Anchieta,2001,80730-000
6gkzq4p8br0,Rua Martim Afonso,2045,80730-000
6gkzq5jt5gg,Avenida Cândido Hartmann,1377,80710-570
6gkzq61zhh5,Rua Capitão Souza Franco,753,80730-420
6gkzq6d9zc5,Rua Padre Anchieta,1287,80730-000
6gkzq6jd1qy,Rua Fernando Simas,334,80430-190
6gkzq6pj0qc,Alameda Augusto Stellfeld,1281,80430-140
6gkzq6u375e,Rua Padre Anchieta,1010,80430-060
6gkzq7fwkvw,Alameda Presidente Taunay,2033,80430-000
6gkzq7upgbq,Avenida Manoel Ribas,1154,80810-000
6gkzq7v3gqu,Rua Júlia Wanderley,350,80430-030
6gkzq7vmcun,Avenida Manoel Ribas,965,80410-000
6gkzq7y0sbh,Rua Brigadeiro Franco,122,80430-210
6gkzq84n01n,Avenida Sete de Setembro,4484,80250-210
6gkzq8k113d,Avenida Sete de Setembro,4211,80250-210
6gkzq8pg0bj,Avenida Iguaçu,1270,80250-190
6gkzq8u4fjk,Rua Desembargador Motta,1635,80420-080
6gkzq92wy0p,Avenida Vicente Machado,771,80420-060
6gkzq93tkdn,Alameda Dom Pedro II,44,80420-060
6gkzq94hhwy,Rua Comendador Araújo,730,80240-000
6gkzq95fvz2,Rua Emiliano Perneta,860,80420-080
6gkzq977hw4,Rua Comendador Araújo,497,80420-000
6gkzq9955rq,Avenida Vicente Machado,642,80420-011
6gkzq9cg0uc,Alameda Doutor Carlos de Carvalho,751,80430-180
6gkzq9e2f6b,Rua Brigadeiro Franco,1703,80420-010
6gkzq9ec2tf,Rua Comendador Araújo,370,80420-000
6gkzq9egnb3,Rua Comendador Araújo,338,80420-000
6gkzq9gchnp,Rua Comendador Araújo,268,80420-000
6gkzq9gtfn0,Rua Visconde do Rio Branco,1358,80420-210
6gkzq9hch9z,Rua Brigadeiro Franco,2154,80250-130
6gkzq9pp9xy,Rua Doutor Pedrosa,55,80420-120
6gkzq9qcppg,Rua Doutor Pedrosa,48,80420-120
6gkzq9qdd1b,Rua Doutor Pedrosa,104,80420-120
6gkzq9qgjqc,Rua Doutor Pedrosa,48,80420-120
6gkzq9s5pud,Rua Comendador Araújo,314,80420-000
6gkzq9sp157,Rua Comendador Araújo,268,80420-000
6gkzq9ushbu,Avenida Vicente Machado,147,80420-010
6gkzq9xm3dw,Praça Rui Barbosa,297,80010-030
6gkzqb7vxzk,Avenida Iguaçu,665,80230-100
6gkzqbcjmxd,Rua Alferes Poli,311,80230-090
6gkzqbeqqdu,Avenida Silva Jardim,845,80230-000
6gkzqc9s1vd,Rua Desembargador Westphalen,311,80010-110
6gkzqcgcdqb,Rua André de Barros,435,80010-080
6gkzqck0hhy,Rua Lourenço Pinto,458,80010-160
6gkzqck3310,Rua Lourenço Pinto,440,80010-160
6gkzqcvnkr6,Rua André de Barros,671,80010-080
6gkzqcw62y1,Travessa da Lapa,91,80010-190
6gkzqd1szys,Rua Saldanha Marinho,1110,80430-160
6gkzqd1vkmk,Rua Saldanha Marinho,1096,80430-160
6gkzqd560y8,Alameda Doutor Carlos de Carvalho,528,80430-180
6gkzqd6hxw6,Alameda Augusto Stellfeld,799,80410-140
6gkzqddgtth,Rua Visconde do Rio Branco,969,80410-001
6gkzqddmwhp,Rua Visconde do Rio Branco,887,80410-001
6gkzqddqqqw,Rua Visconde do Rio Branco,887,80410-140
6gkzqddv048,Rua Visconde do Rio Branco,931,80410-001
6gkzqdh49v6,Alameda Doutor Carlos de Carvalho,417,80410-180
6gkzqdhcftw,Rua Visconde de Nacar,1200,80410-201
6gkzqdhmg5m,Alameda Doutor Carlos de Carvalho,400,80410-180
6gkzqdppnmw,Rua Desembargador Ermelino de Leão,18,80410-230
6gkzqdsy1y2,Alameda Augusto Stellfeld,332,80410-140
6gkzqdvxx9x,Rua Desembargador Ermelino de Leão,511,80410-230
6gkzqdwc8ef,Rua Cruz Machado,282,80410-170
6gkzqdynbvz,Rua Desembargador Ermelino de Leão,492,80410-230
6gkzqe1pcqh,Rua Padre Anchieta,302,80410-060
6gkzqe1tsp2,Rua Visconde do Rio Branco,557,80410-060
6gkzqe1urnz,Rua Martin Afonso,432,80410-060
6gkzqej4zhf,Rua Kellers,383,80410-100
6gkzqepcjz6,Rua Kellers,7,80410-100
6gkzqeqz568,Rua Almirante Barroso,180,80510-240
6gkzqf07um3,Travessa Oliveira Belo,88,80020-030
6gkzqf08cjb,Rua Desembargador Westphalen,16,80010-110
6gkzqf2jgg0,Rua Cândido Lopes,133,80020-901
6gkzqf7zw4g,Rua Marechal Deodoro,441,80020-310
6gkzqf80jkn,Rua Cândido Lopes,102,80020-060
6gkzqfb93b7,Rua do Rosário,48,80020-110
6gkzqfb99br,Rua do Rosário,58,80020-110
6gkzqfb9c86,Rua do Rosário,70,80020-110
6gkzqfbd8nc,Rua do Rosário,80,80020-110
6gkzqfbjp2w,Rua do Rosário,147,80020-110
6gkzqfbmdyw,Rua do Rosário,144,80020-110
6gkzqfbqpvg,Rua do Rosário,144,80020-110
6gkzqfcv8tq,Rua Barão do Serro Azul,81,80020-180
6gkzqfeepg6,Rua XV de Novembro,556,80020-320
6gkzqfm2wzd,Rua João Negrão,280,80010-200
6gkzqfmm9cw,Rua João Negrão,190,80010-200
6gkzqfmqvt9,Rua João Negrão,185,80010-200
6gkzqfn00px,Rua André de Barros,773,80010-080
6gkzqfphnzz,Conselheiro Laurindo,675,80060-100
6gkzqfpjt5d,Rua Conselheiro Laurindo,641,80060-100
6gkzqfpn9j8,Rua Conselheiro Laurindo,599,80060-100
6gkzqfpnece,Rua Conselheiro Laurindo,627,80060-100
6gkzqfpnh2s,Rua Conselheiro Laurindo,639,80060-100
6gkzqfs0jm2,Rua Marechal Deodoro,469,80020-320
6gkzqftqb6t,Rua XV de Novembro,770,80020-310
6gkzqfz6460,Rua Marechal Deodoro,933,80060-010
6gkzqfzxqbd,Rua XV de Novembro,1146,80060-000
6gkzqg09hf5,Rua Doutor Claudino dos Santos,79,80020-170
6gkzqg0bfy9,Rua Doutor Claudino dos Santos,49,80020-150
6gkzqg0c4uq,Rua Doutor Claudino dos Santos,72,80020-170
6gkzqg1mhgw,Rua Mateus Leme,66,80510-190
6gkzqg1y5ex,Rua 13 de Maio,512,80510-030
6gkzqg2098m,Rua 13 de Maio,778,81450-110
6gkzqg3gts0,Rua Presidente Carlos Cavalcanti,598,80510-040
6gkzqg3sh7m,Rua Mateus Leme,218,80510-190
