rota_ref,lexname
BR-484,rodovia.doutor.edu.silva.baptista
BR-484,rodovia.norival.couzi
BR-485,rodovia.parque.nacional.agulhas.negras
BR-486,rodovia.antonio.heil
BR-486,rodovia.pedro.merizio
BR-487,estrada.boiadeira
BR-492,estrada.uniao.industria
BR-492,rodovia.presidente.joao.goulart
BR-493,rodovia.mage.manilha
BR-493,rodovia.raphael.almeida.magalhaes
BR-494,rodovia.deputado.jaime.martins.espirito.santo
BR-494,rodovia.engenheiro.saturnino.braga
BR-494,rodovia.fernao.dias
BR-494,rodovia.saturnino.braga
BR-495,estrada.teresopolis.itaipava
BR-495,estrada.uniao.industria
BR-610,rodovia.helio.smidt
